player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form
A Ashish Reddy,23.0,280.0,196.0,142.85714285714286,19.0,270.0,400.0,8.88888888888889,1.4285714285714286
A Badoni,35.0,634.0,505.0,125.54455445544555,2.0,25.0,37.0,8.879999999999999,1.32
A Chandila,2.0,4.0,7.0,57.14285714285714,11.0,234.0,245.0,6.282051282051283,0.5714285714285714
A Chopra,6.0,53.0,75.0,70.66666666666667,0.0,0.0,0.0,0.0,0.7066666666666667
A Choudhary,3.0,25.0,20.0,125.0,5.0,108.0,144.0,8.0,1.25
A Dananjaya,1.0,4.0,5.0,80.0,0.0,25.0,47.0,11.28,0.8
A Flintoff,3.0,62.0,57.0,108.77192982456141,2.0,66.0,106.0,9.636363636363637,1.087719298245614
A Kamboj,1.0,2.0,2.0,100.0,2.0,68.0,115.0,10.147058823529411,1.0
A Kumble,15.0,35.0,49.0,71.42857142857143,49.0,983.0,1089.0,6.646998982706002,0.7142857142857143
A Manohar,15.0,231.0,181.0,127.62430939226519,0.0,0.0,0.0,0.0,1.276243093922652
A Mishra,55.0,381.0,440.0,86.5909090909091,183.0,3444.0,4193.0,7.304878048780488,0.82
A Mithun,6.0,34.0,26.0,130.76923076923077,8.0,312.0,477.0,9.173076923076923,1.3076923076923077
A Mukund,2.0,19.0,23.0,82.6086956521739,0.0,0.0,0.0,0.0,0.8260869565217391
A Nehra,17.0,41.0,63.0,65.07936507936508,121.0,1974.0,2537.0,7.711246200607903,0.6507936507936508
A Nel,0.0,0.0,0.0,0.0,1.0,18.0,31.0,10.333333333333334,0.0
A Nortje,13.0,49.0,51.0,96.07843137254902,62.0,1097.0,1614.0,8.827711941659071,0.9607843137254902
A Raghuvanshi,7.0,163.0,109.0,149.54128440366972,0.0,0.0,0.0,0.0,1.4954128440366972
A Singh,5.0,2.0,10.0,20.0,31.0,486.0,639.0,7.888888888888889,0.2
A Symonds,36.0,974.0,781.0,124.71190781049937,23.0,540.0,694.0,7.711111111111111,1.1
A Tomar,1.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.5
