player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
A Ashish Reddy,23.0,0.03493885700024957,196.0,0.4761904761904762,0.0892018779342723,270.0,400.0,0.24691358024691357,0.47619047619047616,0.15269485426610693
A Badoni,35.0,0.07911155477913652,505.0,0.41848184818481854,0.009389671361502348,25.0,37.0,0.24666666666666662,0.44,0.13199025739261133
A Chandila,2.0,0.0004991265285749938,7.0,0.19047619047619047,0.051643192488262914,234.0,245.0,0.1745014245014245,0.19047619047619047,0.05277820709978167
A Chopra,6.0,0.006613426503618668,75.0,0.23555555555555557,0.0,0.0,0.0,0.0,0.23555555555555555,0.07298136594293321
A Choudhary,3.0,0.003119540803593711,20.0,0.4166666666666667,0.023474178403755867,108.0,144.0,0.2222222222222222,0.41666666666666663,0.10973816165997453
A Dananjaya,1.0,0.0004991265285749938,5.0,0.26666666666666666,0.0,25.0,47.0,0.3133333333333333,0.26666666666666666,0.04884136095166792
A Flintoff,3.0,0.007736461192912404,57.0,0.3625730994152047,0.009389671361502348,66.0,106.0,0.2676767676767677,0.36257309941520466,0.08705943231477957
A Kamboj,1.0,0.0002495632642874969,2.0,0.33333333333333337,0.009389671361502348,68.0,115.0,0.28186274509803916,0.3333333333333333,0.0742484904730723
A Kumble,15.0,0.004367357125031196,49.0,0.2380952380952381,0.23004694835680753,983.0,1089.0,0.18463886063072227,0.23809523809523808,0.112004997448462
A Manohar,15.0,0.02882455702520589,181.0,0.425414364640884,0.0,0.0,0.0,0.0,0.42541436464088395,0.13771290435108724
A Mishra,55.0,0.04754180184676816,440.0,0.2886363636363637,0.8591549295774648,3444.0,4193.0,0.2029132791327913,0.2733333333333333,0.29696279270321346
A Mithun,6.0,0.004242575492887447,26.0,0.43589743589743596,0.03755868544600939,312.0,477.0,0.2548076923076923,0.4358974358974359,0.11616303432247452
A Mukund,2.0,0.0023708510107312204,23.0,0.2753623188405797,0.0,0.0,0.0,0.0,0.2753623188405797,0.08343849350592983
A Nehra,17.0,0.005116046917893686,63.0,0.21693121693121692,0.568075117370892,1974.0,2537.0,0.2142012833502195,0.21693121693121692,0.18746863250832893
A Nel,0.0,0.0,0.0,0.0,0.004694835680751174,18.0,31.0,0.28703703703703703,0.0,-0.02752999478351591
A Nortje,13.0,0.006114299975043674,51.0,0.32026143790849676,0.29107981220657275,1097.0,1614.0,0.24521422060164086,0.3202614379084967,0.1464669673552934
A Raghuvanshi,7.0,0.020339406039430998,109.0,0.49847094801223246,0.0,0.0,0.0,0.0,0.49847094801223235,0.15666007651747058
A Singh,5.0,0.0002495632642874969,10.0,0.06666666666666667,0.14553990610328638,486.0,639.0,0.2191358024691358,0.06666666666666667,0.03455874342140863
A Symonds,36.0,0.121537309708011,781.0,0.4157063593683313,0.107981220657277,540.0,694.0,0.21419753086419752,0.3666666666666667,0.1703735336511195
A Tomar,1.0,0.0004991265285749938,8.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.16666666666666666,0.05017469428500125
A Uniyal,2.0,0.0004991265285749938,7.0,0.19047619047619047,0.014084507042253521,38.0,67.0,0.293859649122807,0.19047619047619047,0.031452713276141075
A Zampa,5.0,0.0018717244821562268,25.0,0.2,0.14084507042253522,425.0,562.0,0.22039215686274508,0.19999999999999998,0.07382715548811397
